gold,prompt,task_name
Not_Listed,"For clinical trial NCT01856478, review the more effective regimen ingredients and identify which ingredient starts with the letter M.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
"Jan 29, 2032","First, for clinical trial NCT02755597 among the more effective regimen ingredients, identify which ingredient starts with the letter V.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
METHOTREXATE,"For clinical trial NCT00005945. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with M
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
HORIZON THERAPEUTICS USA INC,"First, for clinical trial NCT00004001 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
Not_Listed,"For clinical trial NCT03234972, review the more effective regimen ingredients and identify which ingredient starts with the letter D.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
34.470001220703125,"For clinical trial NCT02838420, review the more effective regimen ingredients and identify which ingredient starts with the letter C.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
49.51612854003906,"For clinical trial NCT01298713, review the more effective regimen ingredients and identify which ingredient starts with the letter E.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
"Nov 22, 2028","For clinical trial NCT01231412 among the more effective regimen ingredients, identify which ingredient starts with the letter S.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
BRISTOL-MYERS SQUIBB CO,"First, for clinical trial NCT03019588 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
DEXAMETHASONE,"For clinical trial NCT01564537. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
