source,question_type,messages,ground_truth,dataset
pubmed_data_generator,pubmed_search,"[{""content"": ""What are the mechanisms of resistance to PD-1/PD-L1 inhibitors in triple-negative breast cancer (TNBC) and how do combination therapies enhance efficacy?"", ""role"": ""user""}]","{""query"": ""What are the mechanisms of resistance to PD-1/PD-L1 inhibitors in triple-negative breast cancer (TNBC) and how do combination therapies enhance efficacy?"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""正确使用分页"", ""description"": ""模型必须使用 offset 参数进行分页检索"", ""weight"": 2}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成系统性汇总任务"", ""description"": ""完成指定任务"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""immune checkpoint inhibitors\"" AND \""breast cancer\"" AND \""mechanism\"" AND \""PD-1\"" AND (\""\""[MeSH Terms])"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}, {""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""immune checkpoint inhibitors\"" AND \""breast cancer\"" AND \""mechanism\"" AND \""PD-1\"" AND (\""\""[MeSH Terms])"", ""limit"": 5, ""offset"": 5}, ""purpose"": ""获取第 2 页结果""}], ""evidence_pmids"": [""40563015"", ""40268075"", ""38744008"", ""35962977"", ""34631507""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""PI3K-AKT 信号通路在不同中药组方治疗糖尿病相关并发症中的作用机制有何异同？"", ""role"": ""user""}]","{""query"": ""PI3K-AKT 信号通路在不同中药组方治疗糖尿病相关并发症中的作用机制有何异同？"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成比较任务"", ""description"": ""完成不同研究的对比分析"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""(\""PI3K-AKT pathway\"" OR \""PI3K-Akt signaling\"") AND diabetes AND (\""therapeutic effect\"" OR \""treatment outcome\"") AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}], ""evidence_pmids"": [""40120541"", ""38301984"", ""29990865""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""PI3K-AKT 信号通路在不同糖尿病并发症中的作用机制有何异同？"", ""role"": ""user""}]","{""query"": ""PI3K-AKT 信号通路在不同糖尿病并发症中的作用机制有何异同？"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成比较任务"", ""description"": ""完成不同研究的对比分析"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""(\""PI3K-AKT pathway\"" OR \""PI3K-Akt signaling\"") AND diabetes AND (\""molecular mechanism\"" OR \""pathogenesis\"") AND (\""human\"" OR \""animal\"") AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}], ""evidence_pmids"": [""37759297"", ""40555342"", ""39928224""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""PI3K-AKT 信号通路在糖尿病并发症中作为生物标志物的作用机制有哪些？请综合不同研究的发现。"", ""role"": ""user""}]","{""query"": ""PI3K-AKT 信号通路在糖尿病并发症中作为生物标志物的作用机制有哪些？请综合不同研究的发现。"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成汇总任务"", ""description"": ""综合归纳多项研究的发现"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""(\""PI3K-AKT pathway\"" OR \""PI3K-Akt signaling\"") AND diabetes AND (\""biomarker\"" OR \""prognosis\"") AND AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}], ""evidence_pmids"": [""40555342"", ""36400343"", ""36103112""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""How do somatic mutations and extracellular vesicle-mediated communication contribute to the mechanisms of neurodegenerative diseases?"", ""role"": ""user""}]","{""query"": ""How do somatic mutations and extracellular vesicle-mediated communication contribute to the mechanisms of neurodegenerative diseases?"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成汇总任务"", ""description"": ""综合归纳多项研究的发现"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""single-cell sequencing\"" AND \""neurodegenerative diseases\"" AND \""mechanism\"" AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}], ""evidence_pmids"": [""32712267"", ""38082562""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""单细胞测序在神经退行性疾病中的生物标志物识别与应用：现状与展望"", ""role"": ""user""}]","{""query"": ""单细胞测序在神经退行性疾病中的生物标志物识别与应用：现状与展望"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""正确使用分页"", ""description"": ""模型必须使用 offset 参数进行分页检索"", ""weight"": 2}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成文献综述任务"", ""description"": ""完成指定任务"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""single-cell sequencing\"" AND \""neurodegenerative diseases\"" AND \""biomarkers\"" AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}, {""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""single-cell sequencing\"" AND \""neurodegenerative diseases\"" AND \""biomarkers\"" AND"", ""limit"": 5, ""offset"": 5}, ""purpose"": ""获取第 2 页结果""}], ""evidence_pmids"": [""36405716"", ""32416267"", ""41314746"", ""32629384"", ""37193138"", ""40969232""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""在心血管疾病中，外泌体作为诊断和预后生物标志物的潜力和挑战分别是什么？"", ""role"": ""user""}]","{""query"": ""在心血管疾病中，外泌体作为诊断和预后生物标志物的潜力和挑战分别是什么？"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成汇总任务"", ""description"": ""综合归纳多项研究的发现"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""exosomes\"" AND \""cardiovascular diseases\"" AND \""biomarkers\"" AND (\""diagnosis\"" OR \""prognosis\"") AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}], ""evidence_pmids"": [""28936732"", ""28936733"", ""37846107""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""在心血管疾病中，源自巨噬细胞的外泌体与其他类型细胞（如干细胞）衍生的外泌体在机制和功能上的差异是什么？"", ""role"": ""user""}]","{""query"": ""在心血管疾病中，源自巨噬细胞的外泌体与其他类型细胞（如干细胞）衍生的外泌体在机制和功能上的差异是什么？"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成比较任务"", ""description"": ""完成不同研究的对比分析"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""exosomes\"" AND \""cardiovascular diseases\"" AND \""mechanism\"" AND \""biomarkers\"" AND (\""humans\""[MeSH Terms]) AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}], ""evidence_pmids"": [""39994679"", ""30385010"", ""32333198""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""综述外泌体在心血管疾病中的生物标志物作用及其临床应用潜力的研究进展。"", ""role"": ""user""}]","{""query"": ""综述外泌体在心血管疾病中的生物标志物作用及其临床应用潜力的研究进展。"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""正确使用分页"", ""description"": ""模型必须使用 offset 参数进行分页检索"", ""weight"": 2}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成文献综述任务"", ""description"": ""完成指定任务"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""exosomes\"" AND \""cardiovascular diseases\"" AND \""biomarkers\"" AND \""review\""[Publication Type] AND"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}, {""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""exosomes\"" AND \""cardiovascular diseases\"" AND \""biomarkers\"" AND \""review\""[Publication Type] AND"", ""limit"": 5, ""offset"": 5}, ""purpose"": ""获取第 2 页结果""}], ""evidence_pmids"": [""37846107"", ""38123019"", ""34687770"", ""28936732"", ""30385010"", ""33198302"", ""28936745""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
pubmed_data_generator,pubmed_search,"[{""content"": ""亨廷顿病中的表观遗传机制如何影响基因表达调控，并且这些机制在神经退行性疾病中是否存在共同的转录失调特征？"", ""role"": ""user""}]","{""query"": ""亨廷顿病中的表观遗传机制如何影响基因表达调控，并且这些机制在神经退行性疾病中是否存在共同的转录失调特征？"", ""rubrics"": [{""title"": ""正确调用 pubmed_search"", ""description"": ""模型必须调用 pubmed_search 工具进行文献检索"", ""weight"": 3}, {""title"": ""引用正确的 PMID"", ""description"": ""输出必须包含正确的 PMID，与证据库对齐"", ""weight"": 3}, {""title"": ""提供年份和期刊信息"", ""description"": ""每篇被引用文献必须给出 year 和 venue"", ""weight"": 2}, {""title"": ""摘要证据句对齐"", ""description"": ""每篇被引用文献必须给出 1 句摘要证据句"", ""weight"": 3}, {""title"": ""完成汇总任务"", ""description"": ""综合归纳多项研究的发现"", ""weight"": 3}], ""expected_tools"": [{""tool_name"": ""pubmed_search"", ""parameters"": {""keywords"": ""\""Huntington Disease\"" AND \""epigenetic mechanisms\"" AND \""\""[MeSH Terms] AND (\""molecular biology\""[MeSH Terms] OR \""gene expression regulation\""[MeSH Terms])"", ""limit"": 5, ""offset"": 0}, ""purpose"": ""检索相关医学文献""}], ""evidence_pmids"": [""34038804"", ""34830381"", ""33925016"", ""25813218""], ""stability_strategy"": {""strategy_type"": ""cache_snapshot"", ""description"": ""该样本依赖对 pubmed_search 返回做快照缓存"", ""implementation"": ""评测时使用缓存的证据库快照，避免实时 API 调用带来的漂移""}}",pubmed_rubric
